mmsi,times,x,y,sog,cog,land_port,land_front,land_starboard
257062170,2021-01-08 08:22:00,30904.4400946378,3592.46767227303,13.6,40.6,0,0,0
257062170,2021-01-08 08:23:00,31216.8727663792,3862.56755292315,13.5,41.2,0,0,0
257062170,2021-01-08 08:24:00,31545.4865909283,4139.400076498,13.4,40.2,0,0,0
257062170,2021-01-08 08:25:00,31844.5783410766,4399.48295112978,13.3,39.9,0,0,0
257062170,2021-01-08 08:26:00,32171.6584695797,4665.1045270792,13.4,37.8,0,0,0
257062170,2021-01-08 08:27:00,32492.1562636274,4909.23859669178,13.5,37.3,0,0,0
257062170,2021-01-08 08:28:00,32828.6185327452,5165.77277989498,13.4,38.3,0,0,0
257062170,2021-01-08 08:29:00,33148.1575013724,5417.40094781262,13.2,37.2,0,0,0
257062170,2021-01-08 08:30:00,33466.5799119364,5656.13244226757,13,37,0,0,0
257062170,2021-01-08 08:31:00,33786.5792067477,5895.99928160831,12.9,37,0,0,0
257062170,2021-01-08 08:32:00,34102.3729584305,6143.40879434215,13.1,38.8,0,0,0
257062170,2021-01-08 08:33:00,34410.6244925636,6400.72274564583,13.2,39.3,0,0,0
257062170,2021-01-08 08:34:00,34714.4719178705,6677.25005519366,13.3,50.6,0,0,0
257062170,2021-01-08 08:35:00,34978.1042793321,7003.97248312716,13.3,51.8,0,0,1
257062170,2021-01-08 08:36:00,35180.8506750879,7343.56172126032,13.5,63.3,0,0,1
257062170,2021-01-08 08:37:00,35360.7841797196,7734.49939109204,13.5,69.2,0,0,0
257062170,2021-01-08 08:38:00,35502.7509691778,8117.29092005225,13.4,76.8,0,0,1
257062170,2021-01-08 08:39:00,35492.4825963911,8508.81714981887,11.3,107.7,0,1,1
257062170,2021-01-08 08:40:00,35337.1261922872,8774.11370606742,9.2,130.7,1,1,1
257062170,2021-01-08 08:41:00,35124.2094800173,8908.21642002766,6.9,165.8,1,1,1
259299000,2021-01-08 08:22:00,31249.3031981887,144.242564218591,0.8,298.8,1,1,1
259299000,2021-01-08 08:23:00,31249.3032133928,144.635748778034,0.6,275.2,1,1,1
259299000,2021-01-08 08:24:00,31249.3032483021,145.534456342618,0.6,250.3,1,1,1
259299000,2021-01-08 08:25:00,31249.3032812265,146.376994684545,0.5,225.5,1,1,1
259299000,2021-01-08 08:26:00,31254.8743994628,164.575576715325,3.1,36.2,1,1,1
259299000,2021-01-08 08:27:00,31313.3808401643,398.682285220748,8.2,80.9,1,1,1
259299000,2021-01-08 08:28:00,31310.659182281,795.904784908041,24,95.2,1,1,1
259299000,2021-01-08 08:29:00,31382.1668915037,1735.67950502867,31.2,73,1,1,1
259299000,2021-01-08 08:30:00,31662.4289279317,2623.93534845227,30.8,59.3,1,1,1
259299000,2021-01-08 08:31:00,32228.4585607395,3412.78778473763,30.9,53.3,1,1,1
259299000,2021-01-08 08:32:00,32777.9098976327,4171.10021064866,30.9,54.3,1,1,1
259299000,2021-01-08 08:33:00,33354.5010373138,4948.12741860556,30.9,53.2,1,1,1
259299000,2021-01-08 08:34:00,33994.2118555288,5660.10134587415,30.7,46.3,1,1,1
259299000,2021-01-08 08:35:00,34641.4643691318,6337.41707129418,30.9,47,1,1,1
259299000,2021-01-08 08:36:00,35251.8894563728,7092.89467214805,31,54.5,1,1,1
259299000,2021-01-08 08:37:00,35736.2424408888,7900.78948324052,31.2,59.5,1,1,1
259299000,2021-01-08 08:38:00,36202.4082387811,8764.61151450789,31.3,65.4,1,1,1
259299000,2021-01-08 08:39:00,36464.5805683406,9677.88139033558,31.3,75.4,1,1,1
259299000,2021-01-08 08:40:00,36704.8026390151,10628.8886945173,31.2,76.5,1,1,1
259299000,2021-01-08 08:41:00,36893.2777720416,11556.1555135566,31,79.4,1,1,1
