mmsi,x,y,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
219022165,-35550,-11937.9,180,0.98049,0.137775,0.0710687,0.990057,8.56432e-06,0,1,0,0,0,0.0498429,0.901186,0.0489707
244150372,-35664.5,-4943.49,180,0.979267,0.138241,0.0695697,0.98987,2.77888e-05,1,0,0,0,0,0.05025,0.90071,0.04904
219022165,-35607,-11648.5,240,0.980432,0.138847,0.0693022,0.98936,0,0,1,0,0,0,0.0503488,0.900102,0.0495493
244150372,-35571.2,-5106.66,240,0.979766,0.138288,0.0692296,0.98993,1.71198e-05,1,0,0,0,0,0.0500729,0.900742,0.0491847
219022165,-35652.6,-11360.2,300,0.979442,0.139446,0.0691229,0.99015,1.8422e-05,0,1,0,0,0,0.0505406,0.899272,0.050187
244150372,-35474.8,-5270.98,300,0.979546,0.139136,0.0704384,0.989738,7.89226e-06,1,0,0,0,0,0.0500994,0.90046,0.0494407
219022165,-35708.1,-11077.9,360,0.979845,0.138652,0.0713442,0.989906,1.56532e-05,0,0,1,0,0,0.0513317,0.899121,0.049547
244150372,-35442.1,-5456.05,360,0.980257,0.456723,0.120355,0.947629,5.28547e-05,0,1,0,0,0,0.0493567,0.902894,0.0477498
219022165,-35756.4,-10790.5,420,0.979916,0.139805,0.0697727,0.990628,0,1,0,0,0,0,0.0509567,0.898779,0.0502639
244150372,-35561.6,-5609.04,420,0.978972,0.46074,0.119829,0.989916,5.49294e-05,0,1,0,0,0,0.0479314,0.90202,0.0500486
219022165,-35833.8,-10507.1,480,0.980138,0.139469,0.0698582,0.990099,4.43182e-06,1,0,0,0,0,0.0490075,0.90001,0.0509827
244150372,-35728.4,-5680.69,480,0.960502,0.803724,0.217721,0.997945,2.75715e-06,0,1,0,0,0,0.0748898,0.887419,0.0376915
219022165,-35958.2,-10242.8,540,0.886229,0.595405,0.103508,0.990121,2.32087e-05,1,0,0,0,0,0.28174,0.679125,0.0391348
244150372,-35855.5,-5810.48,540,0.980742,0.861941,0.137618,0.998492,2.00762e-06,0,1,0,0,0,0.000961652,0.998107,0.000931367
219022165,-36116,-9994.7,600,0.887678,0.596266,0.0951731,0.988769,7.79927e-05,1,0,0,0,0,0.279259,0.685549,0.0351918
244150372,-35990.8,-5941.13,600,0.979893,0.780168,0.0452826,0.968758,0.000112124,0,1,0,0,0,0.0894984,0.86606,0.0444414
219022165,-36269.5,-9754.03,660,0.890226,0.644379,0.0923846,0.981035,9.56222e-05,1,0,0,0,0,0.235905,0.690103,0.0739923
244150372,-36100.1,-6083.01,660,0.981396,0.83749,0.161238,0.973009,8.11152e-05,0,1,0,0,0,0.0555095,0.889913,0.0545774
219022165,-36434.4,-9510.28,720,0,0.163843,0.0713514,0.99041,1.27955e-05,1,0,0,0,0,0.0486367,0.901033,0.0503301
244150372,-36213.6,-6234.63,720,0.981389,0.771997,0.152908,0.998577,0.000107858,0,1,0,0,0,0.0784366,0.843689,0.0778742
219022165,-36602.2,-9265.43,780,0,0.163942,0.0707122,0.989827,1.35242e-05,1,0,0,0,0,0.0492499,0.903063,0.0476869
244150372,-36326.6,-6386.09,780,0.983306,0.753048,0.00197685,0.998725,9.09182e-05,0,1,0,0,0,0.127114,0.872089,0.000797012
219022165,-36765.7,-9025.02,840,0,0.163498,0.0710431,0.991003,1.35929e-05,1,0,0,0,0,0.0501274,0.900099,0.0497733
244150372,-36445.8,-6535.2,840,0.986503,0.681806,0.0278073,0.972641,8.5275e-05,0,1,0,0,0,0.00067467,0.671488,0.327838
219022165,-36920,-8789.9,900,0,0.163318,0.0703949,0.989632,1.3732e-05,1,0,0,0,0,0.0500343,0.901036,0.0489293
244150372,-36557.5,-6680.86,900,0.00507725,0.835903,0.114276,0.929705,0.00517985,0,1,0,0,0,0.0354952,0.924877,0.0396279
219022165,-37084.6,-8550.98,960,0,0.167193,0.0708933,0.990672,1.36035e-05,1,0,0,0,0,0.0501734,0.899252,0.0505745
244150372,-36653.2,-6840.23,960,0.00452713,0.806849,0.156613,0.926454,0.00462766,0,1,0,0,0,0.0791752,0.899334,0.0214903
219022165,-37081.8,-8285.14,1020,0,0.164515,0.0678038,0.988575,1.50205e-05,1,0,0,0,0,0.0512308,0.897979,0.0507902
244150372,-36756.9,-6997.21,1020,0.0213562,0.754831,0.180225,0.910624,0.021463,0,1,0,0,0,0.0680271,0.860039,0.0719339
219022165,-36958.3,-8022.75,1080,0,0.177539,0.0921344,0.996207,1.44427e-05,1,0,0,0,0,0.0467962,0.900727,0.0524763
244150372,-36862.8,-7155.04,1080,0,0.805766,0.00249401,0.917682,0.000113148,0,1,0,0,0,5.73404e-06,0.997398,0.00259609
219022165,-36826.7,-7768.89,1140,0,0.157796,0.0486827,0.987175,1.35839e-05,1,0,0,0,0,0.0462169,0.888481,0.065302
244150372,-36964.5,-7312.63,1140,0,0.854806,0.0966747,0.935683,6.58832e-05,0,1,0,0,0,3.33095e-06,0.806819,0.193178
219022165,-36743.7,-7499.54,1200,0,0.201062,0.0417876,0.980032,1.50764e-05,1,0,0,0,0,0.0504023,0.931058,0.01854
244150372,-37062.5,-7470.77,1200,0,0.960455,0.189895,0.952813,0.000103435,0,1,0,0,0,0.00796544,0.975992,0.016043
219022165,-36721.9,-7213.36,1260,0,0.158226,0.129917,1,1.51566e-05,1,0,0,0,0,0.0502198,0.922368,0.0274125
244150372,-37145.7,-7575.23,1260,0,0.861779,0.0171713,0.844739,0.000177261,0,1,0,0,0,8.98524e-06,0.982077,0.017914
219022165,-36739.1,-6925.13,1320,0,0.181927,0.0482265,0.989373,1.47397e-05,1,0,0,0,0,0.0463488,0.918325,0.0353261
244150372,-37225.5,-7669.94,1320,0,0.465667,9.63185e-06,0.877328,0.000138545,0,1,0,0,0,0.0177287,0.535663,0.446608
219022165,-36778.6,-6638.45,1380,0,0.152943,0.0809566,0.971791,1.54422e-05,1,0,0,0,0,0.0525531,0.892426,0.0550209
244150372,-37305.3,-7764.65,1380,0,0.765123,0.377124,0.945277,4.67394e-05,0,1,0,0,0,0.00793805,0.984047,0.00801446
219022165,-36821.3,-6356.3,1440,0,0.192603,0.0624842,0.982091,1.3318e-05,1,0,0,0,0,0.0428969,0.886493,0.07061
244150372,-37385.1,-7859.37,1440,0,0.980025,6.50617e-06,0.980104,9.32543e-05,0,1,0,0,0,4.6695e-06,0.999991,4.64737e-06
219022165,-36866.5,-6071.68,1500,0,0.198459,0.0467359,0.990821,1.37482e-05,1,0,0,0,0,0.0482828,0.887054,0.0646628
244150372,-37464.9,-7954.09,1500,0,0.000249614,0.000126116,0.00176983,0.00178776,0,1,0,0,0,9.04227e-05,0.999818,9.12402e-05
