mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
210803000,4560,24,16,27,29,4,1,29,29,29,starboard,
305049000,4560,7,15,27,29,4,1,29,22,29,port,
210803000,4620,24,15,26,29,27,11,29,29,18,port,
305049000,4620,7,15,26,29,27,11,29,29,29,port,
210803000,4680,24,16,24,27,21,8,29,29,13,port,
305049000,4680,6,15,24,27,21,8,29,29,29,port,
210803000,4740,24,16,23,25,29,15,29,29,23,port,
305049000,4740,7,15,23,25,29,15,29,29,29,port,
210803000,4800,25,16,22,23,29,29,29,29,29,port,
305049000,4800,8,15,22,23,29,29,29,29,29,port,
210803000,4860,25,16,20,22,29,27,29,29,29,port,
305049000,4860,7,15,20,22,29,27,29,29,29,port,
210803000,4920,25,16,19,20,29,26,29,29,29,port,
305049000,4920,7,15,19,20,29,26,29,29,29,port,
210803000,4980,25,16,17,18,29,27,29,29,29,port,
305049000,4980,8,15,17,18,29,27,29,29,29,port,
210803000,5040,25,16,16,17,29,26,29,29,29,port,
305049000,5040,7,15,16,17,29,26,29,29,29,port,
210803000,5100,25,16,15,15,29,26,29,29,29,port,
305049000,5100,7,15,15,15,29,26,29,29,29,port,
210803000,5160,25,16,13,14,29,27,29,29,29,port,
305049000,5160,7,15,13,14,29,27,29,29,29,port,
210803000,5220,25,16,12,12,29,23,29,29,29,port,
305049000,5220,7,15,12,12,29,23,29,29,29,port,
210803000,5280,25,16,11,11,29,23,29,29,29,port,
305049000,5280,7,15,11,11,29,23,29,29,29,port,
210803000,5340,25,16,9,9,29,21,29,29,29,port,
305049000,5340,7,15,9,9,29,21,29,29,29,port,
210803000,5400,25,16,8,8,29,18,29,29,29,port,
305049000,5400,6,15,8,8,29,18,29,29,29,port,
210803000,5460,25,16,7,6,29,19,29,29,29,port,
305049000,5460,6,15,7,6,29,19,29,29,29,port,
210803000,5520,25,16,5,5,29,19,29,29,29,port,
305049000,5520,6,15,5,5,29,19,29,29,29,port,
210803000,5580,25,16,4,3,29,19,29,29,29,port,
305049000,5580,6,15,4,3,29,19,29,29,29,port,
210803000,5640,25,16,3,2,29,19,29,29,29,port,
305049000,5640,6,15,3,2,29,19,29,29,29,port,
210803000,5700,25,16,3,0,29,19,29,29,29,port,
305049000,5700,6,15,3,0,29,19,29,29,29,port,
210803000,5760,25,16,3,0,29,19,29,29,29,port,
305049000,5760,6,15,3,0,29,19,29,29,29,port,
