mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
219022165,-35958.2,-10242.8,540,0.979781,0.99012,1.88424e-05,0,0,1,0,0,0,0,0.0486565,0.900597,0.0507468,0.99996,0.99996
244150372,-35855.5,-5810.48,540,0.979021,0.9906,1.79928e-05,0,0,0,1,0,0,0,0.0502632,0.896986,0.0527503,0.998934,0.998934
219022165,-36116,-9994.7,600,0.979952,0.98991,8.7034e-06,0,0,1,0,0,0,0,0.0468688,0.904177,0.0489545,1,0.999719
244150372,-35990.8,-5941.13,600,0.978929,0.98956,0,0,0,0,1,0,0,0,0.049333,0.899396,0.0512715,0.999146,0.997166
219022165,-36269.5,-9754.03,660,0.979882,0.98958,1.6015e-05,0,0,1,0,0,0,0,0.0481614,0.902195,0.0496434,0.99996,0.995087
244150372,-36100.1,-6083.01,660,0.978969,0.98994,6.77897e-06,0,1,0,1,0,0,0,0.0520029,0.946738,0.00125935,0.999031,0.993144
219022165,-36434.4,-9510.28,720,0.97983,0.99006,2.20771e-05,0,0,1,0,0,0,0,0.0463521,0.904271,0.0493771,0.99998,0.996658
244150372,-36213.6,-6234.63,720,0.978752,0.98982,1.69613e-05,0,1,0,1,0,0,0,0.0524117,0.94646,0.00112811,0.999139,0.992291
219022165,-36602.2,-9265.43,780,0.980408,0.99,2.02905e-05,0,0,1,0,0,0,0,0.0462975,0.903277,0.0504259,0.99998,0.998251
244150372,-36326.6,-6386.09,780,0.978975,0.99036,1.13749e-05,0,1,0,1,0,0,0,0.0527532,0.946192,0.00105501,0.998856,0.994824
219022165,-36765.7,-9025.02,840,0.979405,0.99056,1.86862e-05,0,0,1,0,0,0,0,0.0441176,0.905696,0.0501868,0.999941,0.996385
244150372,-36445.8,-6535.2,840,0.979413,0.98992,8.26604e-06,0,1,0,1,0,0,0,0.0531246,0.945858,0.00101785,0.999227,0.992223
219022165,-36920,-8789.9,900,0.980079,0.98984,2.28362e-05,0,0,1,0,0,0,0,0.0432515,0.906661,0.0500877,0.999971,0.996445
244150372,-36557.5,-6680.86,900,0.978714,0.9901,1.10809e-05,0,1,0,1,0,0,0,0.0535201,0.945385,0.00109523,0.999152,0.99283
219022165,-37084.6,-8550.98,960,0.979863,0.99043,2.62257e-05,0,0,1,0,0,0,0,0.0442032,0.906595,0.049202,0.99998,0.988927
244150372,-36653.2,-6840.23,960,0.978851,0.98984,1.28932e-05,0,1,0,1,0,0,0,0.0544609,0.944435,0.00110456,0.999267,0.988826
219022165,-37081.8,-8285.14,1020,0.000676773,0.98969,0.000691376,1,0,1,0,0,0,0,0.0491634,0.901055,0.0497811,1,0.999328
244150372,-36756.9,-6997.21,1020,0.717825,0.737506,0.0179489,0,1,0,1,0,0,0,0.04662,0.928892,0.0244877,0.280345,0.280345
219022165,-36958.3,-8022.75,1080,0,0.98985,1.8605e-05,1,0,1,0,0,0,0,0.0494911,0.898772,0.051737,0.999971,0.998168
244150372,-36862.8,-7155.04,1080,0.767,0.744403,0.0161083,0,1,0,1,0,0,0,0.051755,0.922432,0.0258127,0.232357,0.232343
219022165,-36826.7,-7768.89,1140,0,0.98992,1.51785e-05,1,0,1,0,0,0,0,0.0483841,0.902329,0.0492864,0.999941,0.998352
244150372,-36964.5,-7312.63,1140,0.731048,0.747081,0.0192005,0,1,0,1,0,0,0,0.105156,0.883128,0.0117156,0.271882,0.271867
219022165,-36743.7,-7499.54,1200,0,0.98998,1.46711e-05,1,0,1,0,0,0,0,0.051492,0.899409,0.0490987,1,0.998584
244150372,-37062.5,-7470.77,1200,0.734246,0.750737,0.0195539,0,1,0,1,0,0,0,0.0122732,0.968816,0.0189113,0.268598,0.268564
219022165,-36721.9,-7213.36,1260,0,0.98987,1.59624e-05,1,0,1,0,0,0,0,0.0460736,0.902491,0.0514355,1,0.998692
244150372,-37145.7,-7575.23,1260,0.817142,0.825136,0.0142312,0,1,0,1,0,0,0,0.00826242,0.991026,0.000711362,0.188951,0.188288
219022165,-36739.1,-6925.13,1320,0,0.98997,1.53631e-05,1,0,1,0,0,0,0,0.0506007,0.900178,0.0492217,1,0.998288
244150372,-37225.5,-7669.94,1320,0.783439,0.798846,0.0151855,0,1,0,1,0,0,0,0.00865613,0.978094,0.0132503,0.216166,0.215332
219022165,-36778.6,-6638.45,1380,0,0.99006,1.53993e-05,1,0,1,0,0,0,0,0.0490807,0.900754,0.0501655,0.999971,0.998242
244150372,-37305.3,-7764.65,1380,0.736941,0.758592,0.016056,0,1,0,1,0,0,0,0.0156272,0.951328,0.0330445,0.257288,0.256285
219022165,-36821.3,-6356.3,1440,0,0.98966,1.57624e-05,1,0,1,0,0,0,0,0.051065,0.899071,0.0498639,0.999971,0.998248
244150372,-37385.1,-7859.37,1440,0.790967,0.798638,0.0135849,0,1,0,1,0,0,0,0.0132769,0.969308,0.0174148,0.213764,0.213745
219022165,-36866.5,-6071.68,1500,0,0.99045,1.48842e-05,1,0,1,0,0,0,0,0.0517167,0.897481,0.0508024,1,0.997239
244150372,-37464.9,-7954.09,1500,0.851289,0.857923,0.0108995,0,1,0,1,0,0,0,0.00694397,0.992446,0.000610299,0.15286,0.152837
